CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PIRATIO,B,LSTAT,MEDV
0.0,18.1,0.0,0.631,3.863,100.0,1.5106,24.0,666,20.2,131.42,13.33,23.1,
0.0,18.1,0.0,0.668,4.906,100.0,1.1742,24.0,666,20.2,396.9,34.77,13.8,
0.0,18.1,0.0,0.668,4.138,100.0,1.137,24.0,666,20.2,396.9,37.97,13.8,
0.0,18.1,0.0,0.671,7.313,97.9,1.3163,24.0,666,20.2,396.9,13.44,15.0,
0.0,18.1,0.0,0.671,6.649,93.3,1.3449,24.0,666,20.2,363.02,23.24,13.9,
0.0,18.1,0.0,0.671,6.38,96.2,1.3861,24.0,666,20.2,396.9,23.69,13.1,
0.0,18.1,0.0,0.671,6.223,100.0,1.3861,24.0,666,20.2,393.74,21.78,10.2,
0.0,18.1,0.0,0.671,6.968,91.9,1.4165,24.0,666,20.2,396.9,17.21,10.4,
0.0,18.1,0.0,0.671,6.545,99.1,1.5192,24.0,666,20.2,396.9,21.08,10.9,
0.0,18.1,0.0,0.7,4.368,91.2,1.4395,24.0,666,20.2,285.83,30.63,8.8,
0.0,18.1,0.0,0.7,5.277,98.1,1.4261,24.0,666,20.2,396.9,30.81,7.2,
0.0,18.1,0.0,0.7,4.652,100.0,1.4672,24.0,666,20.2,396.9,28.28,10.5,
0.0,18.1,0.0,0.7,5.0,89.5,1.5184,24.0,666,20.2,396.9,31.99,7.4,
0.0,18.1,0.0,0.7,4.88,100.0,1.5895,24.0,666,20.2,372.92,30.62,10.2,
0.0,18.1,0.0,0.7,5.036,97.0,1.77,24.0,666,20.2,396.9,25.68,9.7,
0.0,18.1,0.0,0.693,5.887,94.7,1.7821,24.0,666,20.2,396.9,16.35,12.7,
0.0,18.1,0.0,0.693,5.453,100.0,1.4896,24.0,666,20.2,396.9,30.59,5.0,
0.0,18.1,0.0,0.693,5.987,100.0,1.5888,24.0,666,20.2,396.9,26.77,5.6,
0.0,18.1,0.0,0.693,6.343,100.0,1.5741,24.0,666,20.2,396.9,20.32,7.2,
0.0,18.1,0.0,0.693,5.349,96.0,1.7028,24.0,666,20.2,396.9,19.77,8.3,
0.0,18.1,0.0,0.693,5.531,85.4,1.6074,24.0,666,20.2,329.46,27.38,8.5,
0.0,18.1,0.0,0.693,5.683,100.0,1.4254,24.0,666,20.2,384.97,22.98,5.0,
0.0,18.1,0.0,0.659,4.138,100.0,1.1781,24.0,666,20.2,370.22,23.34,11.9,
0.0,18.1,0.0,0.659,5.608,100.0,1.2852,24.0,666,20.2,332.09,12.13,27.9,
0.0,18.1,0.0,0.597,6.852,100.0,1.4655,24.0,666,20.2,179.36,19.78,27.5,
0.0,18.1,0.0,0.597,5.757,100.0,1.413,24.0,666,20.2,2.6,10.11,15.0,
0.0,18.1,0.0,0.597,6.657,100.0,1.5275,24.0,666,20.2,35.05,21.22,17.2,
0.0,18.1,0.0,0.597,4.628,100.0,1.5539,24.0,666,20.2,28.79,34.37,17.9,
0.0,18.1,0.0,0.597,5.155,100.0,1.5894,24.0,666,20.2,210.97,20.08,16.3,
0.0,18.1,0.0,0.693,4.519,100.0,1.6582,24.0,666,20.2,88.27,36.98,7.0,
0.0,18.1,0.0,0.679,6.434,100.0,1.8347,24.0,666,20.2,27.25,29.05,7.2,
0.0,18.1,0.0,0.679,6.782,90.8,1.8195,24.0,666,20.2,21.57,25.79,7.5,
0.0,18.1,0.0,0.679,5.304,89.1,1.6475,24.0,666,20.2,127.36,26.64,10.4,
0.0,18.1,0.0,0.679,5.957,100.0,1.8026,24.0,666,20.2,16.45,20.62,8.8,
0.0,18.1,0.0,0.718,6.824,76.5,1.794,24.0,666,20.2,48.45,22.74,8.4,
0.0,18.1,0.0,0.718,6.411,100.0,1.8589,24.0,666,20.2,318.75,15.02,16.7,
0.0,18.1,0.0,0.614,5.648,87.6,1.9512,24.0,666,20.2,291.55,14.1,20.8,
0.0,18.1,0.0,0.679,5.896,95.4,1.9096,24.0,666,20.2,7.68,24.39,8.3,
0.0,18.1,0.0,0.584,5.837,59.7,1.9976,24.0,666,20.2,24.65,15.69,10.2,
0.0,18.1,0.0,0.679,6.202,78.7,1.8629,24.0,666,20.2,18.82,14.52,10.9,
0.0,18.1,0.0,0.584,6.833,94.3,2.0882,24.0,666,20.2,81.33,19.69,14.1,
0.0,18.1,0.0,0.713,6.208,95.0,2.2222,24.0,666,20.2,100.63,15.17,11.7,
0.0,18.1,0.0,0.74,6.629,94.6,2.1247,24.0,666,20.2,109.85,23.27,13.4,
0.0,18.1,0.0,0.74,6.461,93.3,2.0026,24.0,666,20.2,27.49,18.05,9.6,
0.0,18.1,0.0,0.74,6.152,100.0,1.9142,24.0,666,20.2,9.32,26.45,8.7,
0.0,18.1,0.0,0.74,5.935,87.9,1.8206,24.0,666,20.2,68.95,34.02,8.4,
0.0,18.1,0.0,0.74,5.818,92.4,1.8662,24.0,666,20.2,391.45,22.11,10.5,
0.0,18.1,0.0,0.74,5.854,96.6,1.8956,24.0,666,20.2,240.52,23.79,10.8,
0.0,18.1,0.0,0.74,6.459,94.8,1.9879,24.0,666,20.2,43.06,23.98,11.8,
0.0,18.1,0.0,0.58,5.926,71.0,2.9084,24.0,666,20.2,368.74,18.13,19.1,
0.0,18.1,0.0,0.58,5.713,56.7,2.8237,24.0,666,20.2,396.9,14.76,20.1,
0.0,18.1,0.0,0.614,5.304,97.3,2.1007,24.0,666,20.2,349.48,24.91,12.0,
0.0,18.1,0.0,0.614,6.185,96.7,2.1705,24.0,666,20.2,379.7,18.03,14.6,
0.0,18.1,0.0,0.614,6.229,88.0,1.9512,24.0,666,20.2,383.32,13.11,21.4,
